sample_id,path,experiment,sample_type,condition,batch,best_pK
ALL_1dpi_1,data/ALL_1dpi_1,ALL,unsorted,1dpi,1,0.005
ALL_1dpi_2,data/ALL_1dpi_2,ALL,unsorted,1dpi,2,0.17
ALL_1dpi_3,data/ALL_1dpi_3,ALL,unsorted,1dpi,3,0.18
ALL_28dpi_2,data/ALL_28dpi_2,ALL,unsorted,28dpi,2,0.04
ALL_28dpi_3,data/ALL_28dpi_3,ALL,unsorted,28dpi,3,0.01
ALL_3dpi_6,data/ALL_3dpi_6,ALL,unsorted,3dpi,6,0.005
ALL_7dpi_1,data/ALL_7dpi_1,ALL,unsorted,7dpi,1,0.005
ALL_7dpi_2,data/ALL_7dpi_2,ALL,unsorted,7dpi,2,0.01
ALL_7dpi_3,data/ALL_7dpi_3,ALL,unsorted,7dpi,3,0.02
ALL_U_1,data/ALL_U_1,ALL,unsorted,U,1,0.005
ALL_U_2,data/ALL_U_2,ALL,unsorted,U,2,0.005
ALL_U_3,data/ALL_U_3,ALL,unsorted,U,3,0.02
DEPL_1dpi_5,data/DEPL_1dpi_5,DEPL,NEUN-SOX10-depleted,1dpi,5,0.03
DEPL_28dpi_5,data/DEPL_28dpi_5,DEPL,NEUN-SOX10-depleted,28dpi,5,0.005
DEPL_3dpi_6,data/DEPL_3dpi_6,DEPL,NEUN-SOX10-depleted,3dpi,6,0.01
DEPL_7dpi_5,data/DEPL_7dpi_5,DEPL,NEUN-SOX10-depleted,7dpi,5,0.01
DEPL_U_5,data/DEPL_U_5,DEPL,NEUN-SOX10-depleted,U,5,0.005
FT_1dpi_4,data/FT_1dpi_4,FT,Foxj1-tdTomato-sorted,1dpi,4,0.01
FT_28dpi_4,data/FT_28dpi_4,FT,Foxj1-tdTomato-sorted,28dpi,4,0.14
FT_7dpi_4,data/FT_7dpi_4,FT,Foxj1-tdTomato-sorted,7dpi,4,0.07
FT_U_4,data/FT_U_4,FT,Foxj1-tdTomato-sorted,U,4,0.08
